North,"Kan Tau Tsuen, Kwan Tei",855,
Yuen Long,"Chuen Shui House, Shui Pin Wai Estate",856,
Wan Chai,United Mansion,857,
North,"Block B, Lung Fung Garden",858,
North,"Block B, Lung Fung Garden",859,
North,"Block B, Lung Fung Garden",860,
Kowloon City,Le Billionnaire,862,
Sai Kung,"Sheung Yan House, Sheung Tak Estate",863,
Central & Western,Rose Gardens,865,
Central & Western,Bishop Lei International House,866,
Kwai Tsing,Dorsett Tsuen Wan,867,
District,Building name,"Related confirmed / probablecase number",
Sha Tin,"Fai Shing House, May Shing Court",868,
Wan Chai,Green Valley Mansion,869,
Tai Po,Kei Ling Ha San Wai,870,
Kwai Tsing,Silka Tsuen Wan Hotel,871,
Tuen Mun,"Hang King House, Siu Shan Court",872,
Central & Western,Borrett Mansions,873,
Wan Chai,Dorsett Wanchai,874,
Yau Tsim Mong,Kam Tong Building,875,
Yuen Long,"Block 4, Locwood Court, Kingswood Villas",876,
Islands,Island View,878,
Kwun Tong,"Block 4, Laguna City",879,
Wan Chai,Tagus Residences,881,
Sai Kung,Kei Pik Shan,882,
Wan Chai,Blue Pool Court,883,
Kwun Tong,"Choi Shing House, Choi Tak Estate",884,
Central & Western,"Block B, Monticello",885,
Eastern,Ramada Hong Kong Grand View,886,
Tuen Mun,Kam Fat Building,887,
Kowloon City,"Tower 2, The Metropolis Residence",888,
Southern,"Block 33, Baguio Villa (Lower)",889,
Sha Tin,"Block C, Garden Vista",890,
Kowloon City,Tung Hei Court,891,
Wan Chai,"The Park Lane Hong Kong, a Pullman Hotel",892,
Yuen Long,"Orchid Path, The Westwood, (Phase 1C),Palm Springs",893,
Central & Western,Borrett Mansions,894,
Kowloon City,Kensington House,895,
Sha Tin,"Tower 1, Festival City (Phase 2)",896,
Central & Western,"Tower 2, Island Crest",897,
North,Ha Shan Kai Wat,898,
Central & Western,Lexington Hill,899,
District,Building name,"Related confirmed / probablecase number",
Central & Western,Robinson Place,900,
Wan Chai,Winfield Gardens,901,
Yuen Long,Yan Sau Wai,902,
Sai Kung,"Block 7, Bauhinia Garden",903,
Tuen Mun,San Hui Village,905,
Kowloon City,"Chiu Man House, Oi Man Estate",912,
Kowloon City,"Chiu Man House, Oi Man Estate",913,
Kwun Tong,"Ko Ching House, Ko Cheung Court",914,
Kowloon City,123 Pak Tai Street,915,
Yau Tsim Mong,Holiday Inn Express Hong Kong Mongkok,"Case notified by the HealthCommission of GuangdongProvince",
Central & Western,40-42 Circular Pathway,916,
Southern,"Block 4, South Horizons",917,
Yau Tsim Mong,"Fujian Hotel, Mirador Mansion",918,
Sai Kung,Mau Po Road,919,
Wan Chai,Dorsett Wanchai,920,
Yau Tsim Mong,"Tower 6B, Imperial Cullinan",921,
Yuen Long,"Kat Hing Wai, Kam Tin",922,
Sha Tin,Lakeview Garden (House Zone),923,
Kwun Tong,"Sau Chi House, Sau Mau Ping Estate",924,
Kowloon City,"Tak Cheung House, Tak Long Estate",925,
Yuen Long,"Chak Fai House, Tin Chak Estate",926,
Kwai Tsing,"Luk Kwai House, Kwai Chung Estate",928,
Wan Chai,Yick Shing Mansion,929,
Eastern,Wah Yu Court,932,
Yau Tsim Mong,109 Temple Street,933,
Yuen Long,"Section C, 5th Street, Fairview Park",934,
Southern,Chung Hom Kok Road,935,
Sha Tin,"Hin Kwai House, Hin Keng Estate",936,
District,Building name,"Related confirmed / probablecase number",
Central & Western,Courtyard By Marriott Hong Kong,"Commission of GuangdongProvince",
Wan Chai,J Residence,937,
Central & Western,288 Des Voeux Road West,938,
Sai Kung,Hang Hau Village,939,
Sai Kung,Floral Villas,940,
Tsuen Wan,"Block 2, Hong Kong Garden",943,
Tuen Mun,"Kin Tai House, Fu Tai Estate",944,
North,"Block 2, Royal Jubilee",945,
Islands,"Block 6, Coastal Skyline",946,
Central & Western,"Block D, Pearl Gardens",947,
Wan Chai,"The Park Lane Hong Kong, a Pullman Hotel",948,
Yau Tsim Mong,The Imperial Hotel,949,
Yau Tsim Mong,Prudential Hotel,949,
Yuen Long,Fan Tin Tsuen,950,
Central & Western,"Tower 2, Island Crest",953,
Eastern,"Block 6, New Jade Garden",954,
Yuen Long,Tai Tseng Wai Tsuen,955,
Tuen Mun,"Block 8, Seaview Garden",956,
Eastern,Wah Yu Court,957,
Eastern,Wah Yu Court,958,
Tsuen Wan,Silka Tsuen Wan Hotel,959,
Kwun Tong,"Block B1, Yau Tong Industrial City",960,
Yau Tsim Mong,Prat Mansions,961,
Eastern,"Han Kung Mansion, Kam Din Terrace, TaikooShing",962,
Eastern,Ramada Hong Kong Grand View,963,
Kowloon City,Sunderland Estate,964,
Central & Western,"Cheung Fai Building, 45 - 47 Cochrane Street",965,
Yau Tsim Mong,"Tower 6B, Imperial Cullinan",966,
District,Building name,"Related confirmed / probablecase number",
Kwun Tong,"Block 2, Sceneway Garden",969,
Kwai Tsing,Dorsett Tsuen Wan,970,
Islands,"Headland Drive, Discovery Bay",971,
Yau Tsim Mong,"Golden Mansion, 83-85 Chatham Road South",972,
Central & Western,"Hillier Building, 273 - 275 Queen's RoadCentral",973,
Kowloon City,Tung Hei Court,974,
Tai Po,JC Castle,975,
Yuen Long,"Tung Tau Tsuen, Shap Pat Heung",976,
Tsuen Wan,"Block 30, Park Island",977,
Central & Western,Branksome Grande,978,
Wan Chai,V Wanchai,979,
Tai Po,Constellation Cove,981,
Sha Tin,"Block 6, Royal Ascot",982,
Kwun Tong,"Sau Ching House, Sau Mau Ping Estate",983,
Islands,"Crestmont Villa, Discovery Bay",984,
Yau Tsim Mong,"Tower 1, Harbour Green",985,
Central & Western,Bishop Lei International House,987,
Sha Tin,"Block 2, Carado Garden",988,
Kowloon City,"Prince Apartments, 226 Prince Edward RoadWest",989,
Central & Western,Kennedy Park at Central,990,
Yau Tsim Mong,YMCA of Hong Kong,992,
Central & Western,"Block 3, Garden Terrace",993,
Yuen Long,Tin Sam Village,996,
Sha Tin,St Moritz,997,
Yuen Long,"Tung Tau Tsuen, Shap Pat Heung",998,
Central & Western,Courtyard By Marriott Hong Kong,1000,
Central & Western,Beau Cloud Mansion,1001,
Tuen Mun,"Block 1, Pine Villas",1002,
District,Building name,"Related confirmed / probablecase number",
Kwai Tsing,"Fu Tai House, Tai Wo Hau Estate",1004,
Tuen Mun,"Block 8, Seaview Garden",1005,
Sha Tin,"Block 2, Carado Garden",1007,
Central & Western,"Block 3, Garden Terrace",1009,
Tuen Mun,"Tower 11, Avignon",1013,
Kwai Tsing,Silka Tsuen Wan Hotel,1015,
Wan Chai,CHI Residences 138,1017,
Yau Tsim Mong,Metropark Hotel Mongkok,1018,
Sham Shui Po,"Block 2, Cronin Garden",1018,
,,Last date of visit,
District,Building name,by any of the,Related confirmed /
,,involved case(s),probable cases
Central & Western,97 Hollywood Road,20/03/2020,"266, 319"
Central & Western,62 Hollywood Road,20/03/2020,"266, 342"
Yau Tsim Mong,Manson House,20/03/2020,"428, 855"
Central & Western,Two Chinachem Plaza,22/03/2020,"563, 683"
,,,"182, 227, 276, 343,"
,,,"360, 362, 367, 384,"
,,,"386, 387, 389, 394,"
Central & Western,Ho Lee Commercial Building,24/03/2020,"411, 422, 432, 433,"
,,,"440, 442, 453, 497,"
,,,"501, 511, 513, 576,"
,,,"627, 746, 877"
,,,"276, 343, 362, 367,"
,,,"386, 387, 389, 413,"
,,,"432, 433, 434, 440,"
Wan Chai,76 Jaffe Road,24/03/2020,"477, 499, 501, 509,"
,,,"513, 519, 524, 576,"
,,,"635, 638, 707, 746,"
,,,"864, 877, 951"
,,,"387, 389, 395, 411,"
,,,"428, 433, 447, 450,"
,,,"458, 462, 466,  483,"
,,,"484, 498, 501, 510,"
,,,"511, 512, 513, 514,"
Yau Tsim Mong,9 Knutsford Terrace,24/03/2020,
,,,"517, 526, 573, 581,"
,,,"614, 615, 625, 663,"
,,,"670, 674, 746, 755,"
,,,"846, 863, 904, 906,"
,,,998
Yau Tsim Mong,10-11 Knustsford Terrace,24/03/2020,"483, 516"
Yau Tsim Mong,MW Plaza,24/03/2020,"567, 842"
District,Building name,"Last date of visitby any of theinvolved case(s)","Related confirmed /probable cases"
Yau Tsim Mong,25 Carnarvon Road,24/03/2020,"662, 687, 702, 704,705, 758, 759"
Wan Chai,Lok Sing Centre,25/03/2020,"903, 923, 925, 932,954"
Wan Chai,23 Luard Road,26/03/2020,"682, 857"
Wan Chai,82 Jaffe Road,27/03/2020,"276, 362, 367, 386,387, 389, 432, 433,440, 481, 501, 513,531, 626, 746, 877,973"
Yau Tsim Mong,iSQUARE,28/03/2020,"504, 756"
Yau Tsim Mong,10 Knutsford Terrace,28/03/2020,"567, 842"
Yau Tsim Mong,K11 Musea,28/03/2020,"687, 702, 704, 705,758, 759"
Southern,23 Yip Kan Street,28/03/2020,"719, 801, 849"
Wan Chai,1–29 Tang Lung Street,03/04/2020,865
Yuen Long,Tin Yiu Plaza,03/04/2020,876
Wan Chai,110-116 Jaffe Road,03/04/2020,923
Central & Western,Wings Building,03/04/2020,957
Yau Tsim Mong,Ecumenical Christian Building,03/04/2020,961
Wan Chai,Lee Garden One,03/04/2020,968
Wan Chai,Lee Garden Two,03/04/2020,972
Wan Chai,88 Gloucester Road,03/04/2020,"923, 925"
Central & Western,Shun Tak Centre,04/04/2020,"923, 932"
Kowloon City,Ching Long Shopping Centre,05/04/2020,925
Tsuen Wan,57-58 Chuen Lung Village,05/04/2020,936
Yau Tsim Mong,Bank Centre Mall,05/04/2020,936
Sha Tin,New Town Plaza,05/04/2020,936
Yau Tsim Mong,MOKO,05/04/2020,936
District,Building name,"Last date of visitby any of theinvolved case(s)","Related confirmed /probable cases"
Eastern,"Chai Wan Municipal ServicesBuilding Chai Wan Market",05/04/2020,958
Wan Chai,Windsor House,05/04/2020,"903, 925, 944"
Wan Chai,Hong Kong Adventist Hospital,06/04/2020,935
North,"Shek Wu Hui Municipal ServicesBuilding",06/04/2020,945
North,Union Plaza,06/04/2020,945
Eastern,Yue Wan Market,06/04/2020,958
Eastern,"Administration Building, Yue WanEstate",06/04/2020,958
Kwun Tong,Domain,06/04/2020,960
Central & Western,121 Bonham Strand,06/04/2020,971
Wan Chai,Emperor Group Centre,06/04/2020,972
Central & Western,Melbourne Plaza,06/04/2020,978
Wong Tai Sin,Pat Tat Industrial Building,06/04/2020,978
Central & Western,"The Landmark Mandarin OrientalHotel",06/04/2020,978
Yau Tsim Mong,New East Ocean Centre,07/04/2020,955
Kowloon City,Festival Walk,07/04/2020,955
Central & Western,176 Queen's Road,07/04/2020,972
Central & Western,China Insurance Group Building,07/04/2020,972
Central & Western,9 Queen's Road Central,07/04/2020,972
Yuen Long,Kingswood Richly Plaza,07/04/2020,996
Yau Tsim Mong,Golden Mansion,08/04/2020,972
Yau Tsim Mong,8 Hart Avenue,08/04/2020,972
Central & Western,World-Wide House,08/04/2020,981
Yuen Long,Pak Yee Building,08/04/2020,996
Yuen Long,On Ning Building,08/04/2020,996
Yuen Long,+WOO,09/04/2020,976
Eastern,Kornhill Plaza (South),11/04/2020,1022
District,Building name,"Last date of visitby any of theinvolved case(s)","Related confirmed /probable cases"
Tuen Mun,"Gold Coast Yacht and CountryClub",12/04/2020,1013
Wan Chai,"Hong Kong Sanatorium &Hospital",12/04/2020,1013
Wan Chai,"Hong Kong Sanatorium &Hospital",13/04/2020,1022
